ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,DayType_Idx
NSLP,VICAGL,2006.1.25,17/05/2006 22:04,68652.049,63404.876,64209.214,60619.287,56963.187,54323.3,53196.099,52870.981,53782.809,56507.324,61106.107,67814.784,74253.191,80686.698,82340.925,84994.208,89683.652,91415.045,93145.943,95323.271,97376.916,100300.209,100352.075,102276.799,105563.016,110327.792,115526.148,120960.599,125990.878,131381.077,137612.41,143375.169,146606.873,148487.697,149360.472,148803.688,146885.749,143991.399,139911.949,138400.509,142236.871,140310.685,130734.299,120155.429,108806.4,99850.189,102889.599,92534.354,3
NSLP,VICAGL,2006.1.26,17/05/2006 22:04,83673.634,76926.317,76840.49,71745.992,67011.797,63973.452,61754.337,60955.528,60667.587,61126.13,61690.784,64630.687,68156.132,72375.25,78443.571,88063.761,101050.298,114414.352,128349.542,139781.386,151512.486,161574.207,170580.296,176654.807,181342.186,185804.939,189457.506,193229.414,196139.238,198971.54,202134.407,205481.698,200523.629,183230.88,174569.566,176322.483,176866.371,174764.776,174407.193,174831.332,177417.615,175223.113,167161.914,154100.566,140809.657,128264.675,126522.609,116433.201,4
NSLP,VICAGL,2006.1.27,17/05/2006 22:04,104394.694,96851.561,96315.01,90414.439,84801.167,81161.989,78972.716,78220.342,78341.049,79803.272,82755.479,89582.419,96583.139,104250.024,109498.622,118013.941,126581.968,134227.971,145238.556,154676.226,163681.628,170892.577,176360.417,181198.589,185226.311,188091.204,189769.903,193412.054,181338.865,165583.599,158950.77,154423.735,148028.53,141126.405,133787.07,126243.586,119931.342,116488.08,114433.852,115820.478,116492.049,113672.254,108780.554,102733.809,94676.724,88661.613,94651.569,88111.172,5
NSLP,VICAGL,2006.1.28,17/05/2006 22:04,79818.614,73439.379,73982.19,69344.925,65121.639,62405.43,60845.185,59921.466,59458.459,59594.613,60239.398,62942.469,65621.709,69662.835,72974.886,79207.927,86836.122,90826.259,94599.982,96813.164,97020.636,98517.837,101166.462,102158.716,103412.03,104499.803,100898.682,97097.52,95832.989,95706.258,95997.673,98790.278,100879.092,104388.351,107236.19,108596.169,108918.496,108847.284,108954.478,110242.132,112778.522,111319.918,107446.708,102696.679,96688.089,92511.515,99146.234,91499.777,6
NSLP,VICAGL,2006.1.29,24/05/2006 22:01,84255.206,78004.39,77924.208,73240.416,68760.996,65650.413,63294.079,61854.486,61109.305,61014.189,61215.561,64744.386,65317.2,67395.28,69464.951,73632.936,80222.729,86912.234,94436.096,100471.185,108154.646,114659.024,121565.764,126067.391,129636.949,133312.263,136889.528,140081.512,143644.878,147626.585,151553.041,156355.319,160558.736,165244.497,166783.995,164556.487,158625.615,150526.362,142170.188,141189.342,140790.815,136060.611,127665.278,117211.143,105870.762,95184.964,97855.717,89844.16,0
NSLP,VICAGL,2006.1.30,24/05/2006 22:01,81801.242,75671.15,75691.158,71078.087,66858.672,63852.479,62027.867,61193.729,61398.77,62996.462,68014.974,76660.693,83455.867,90286.168,91998.715,96063.036,100187.644,101457.63,102620.46,102625.387,102967.267,103577.74,105893.761,104553.773,103928.509,101801.792,100578.842,100178.127,100366.099,99937.632,99666.834,99437.093,98974.439,98026.326,96210.736,93499.482,90799.939,89821.899,92730.716,97629.55,100036.795,96987.628,90576.301,83008.909,74830.753,70431.224,78462.051,73103.466,1
NSLP,VICAGL,2006.1.31,24/05/2006 22:01,67169.957,62507.759,63623.804,60152.612,56472.868,53904.229,52923.145,52440.76,53496.747,56367.536,62424.122,71281.115,80750.506,87408.566,85997.948,86652.227,89891.4,90031.947,92218.9,92814.184,93665.935,95553.761,95832.793,95119.66,95303.674,95226.348,95998.43,96882.247,98753.979,98680.555,100968.088,101918.798,102278.447,101942.987,99949.34,97079.636,93516.21,91730.781,94330.459,99078.777,103319.941,100513.778,94156.903,86283.706,77778.722,72724.353,79518.873,74219.37,2
NSLP,VICAGL,2006.2.1,24/05/2006 22:01,67702.262,63030.581,64071.179,60839.489,57290.063,55023.534,53818.339,53550.585,54653.477,57542.052,64043.609,73400.129,83112.237,92046.575,91577.017,91742.024,96528.001,98626.01,95228.68,98800.503,101291.819,101713.596,101316.013,100217.199,99840.534,99415.752,100348.064,100141.64,99444.238,100072.104,102683.214,102969.143,104013.133,104467.278,103233.711,100466.476,100160.015,99616.34,102776.629,102574.06,100187.498,95782.86,89540.236,81812.895,72620.693,67590.544,75751.249,71937.215,3
NSLP,VICAGL,2006.2.2,24/05/2006 22:01,66243.722,61677.839,63212.224,59924.733,56549.644,53648.711,52354.543,52573.171,53323.745,56068.213,62910.687,75197.417,87775.04,95864.751,93918.35,91361.93,93554.502,94910.23,95118.571,95320.226,95888.963,96388.903,96047.894,95097.144,95504.353,95447.125,96011.721,96088.794,95559.766,96479.578,97803.251,97547.685,97675.068,97331.09,95795.709,93860.25,91245.189,91662.149,95400.728,98141.024,99202.435,96163.916,89909.704,82111.867,73802.976,68786.053,76460.615,72197.324,4
NSLP,VICAGL,2006.2.3,24/05/2006 22:01,65227.6,60837.535,61871.745,58322.685,55071.974,52737.84,51323.821,51040.684,52506.021,55122.122,61713.541,73275.056,85125.116,91827.873,91903.577,90613.575,92252.948,93452.028,94153.414,94989.835,95350.118,96107.372,96244.492,95696.438,94797.23,94107.417,94463.129,93900.411,92229.355,90511.041,88605.876,89556.932,90029.541,88867.69,87508.153,85740.274,84888.575,85931.267,89192.21,93518.357,94868.113,92225.645,88075.855,82469.026,75654.526,71786.718,79640.461,74979.578,5
