RMSE,MAPE
0.28358,3.9127
0.283,3.8343
0.28472,3.9444
0.28156,3.928
0.28384,3.9478
0.28191,3.9436
0.28545,3.9873
0.28339,3.9969
0.28099,4.0054
0.28294,3.9073
0.28076,3.8531
0.28239,3.9178
0.28317,3.906
0.28332,3.8341
0.28234,3.8773
0.28159,3.9613
0.2835,4.0203
0.28242,3.976
0.28019,3.7939
0.28283,3.9812
0.28282,3.8381
0.28088,3.9358
0.28271,3.8821
0.28321,3.8077
0.28264,3.8367
0.28229,3.8821
0.28124,3.94
0.28214,3.9338
0.28252,3.9402
0.28127,3.9214
0.28436,3.8952
0.2825,3.8656
0.28131,3.9251
0.28051,3.8514
0.28185,3.9148
0.28004,3.9638
0.2815,3.8723
0.28149,3.8855
0.28102,3.9437
0.28164,3.9145
0.28266,4.0715
0.28291,3.8753
0.28309,3.8939
0.28328,3.91
0.2813,3.9362
0.28223,3.9222
0.28368,3.8981
0.28389,3.97
0.28234,3.8359
0.28275,3.9193
0.28324,3.9318
0.283,3.9393
0.27975,3.8288
0.28214,4.0057
0.28416,4.052
0.28449,3.9865
0.28416,3.9091
0.28276,3.8628
0.28305,3.8137
0.28451,3.8768
0.28287,3.8578
0.28293,3.9988
0.28388,3.8922
0.28424,3.8986
0.28329,3.8994
0.28248,3.94
0.28245,3.8681
0.2809,3.8178
0.28309,3.875
0.28246,4.0011
0.28006,3.7851
0.28408,3.9025
0.28142,3.8731
0.28329,3.9435
0.28329,3.8907
0.28198,3.9439
0.28079,3.8936
0.28218,3.9363
0.2832,3.8988
0.28174,3.8374
0.284,3.9301
0.28224,3.9559
0.28308,3.9709
0.28291,3.7965
0.28235,3.8437
0.28175,3.9461
0.28092,3.8772
0.28428,3.8352
0.28246,3.88
0.28256,3.7801
0.28258,3.975
0.282,3.8223
0.28247,3.8318
0.28246,3.9028
0.28348,3.922
0.28273,3.9183
0.28289,3.9287
0.2824,3.97
0.28219,3.7725
0.28241,3.9292
0.28397,4.0616
0.28221,3.9113
0.28245,4.0249
0.28211,3.9162
0.28232,4.0407
0.28334,3.939
0.28158,3.811
0.28351,3.8693
0.28332,3.8888
0.28272,3.9967
0.28134,3.9895
0.28508,3.8542
0.28577,3.9787
0.28201,3.7422
0.28229,3.9333
0.28135,4.0671
0.28297,3.9219
0.28362,3.9354
0.28175,3.8879
0.28293,3.9766
0.28042,3.9087
0.28359,4.0112
0.28194,3.9314
0.28173,3.9073
0.28479,3.9293
0.2825,3.8844
0.28202,3.9134
0.28421,3.8848
0.28281,3.8599
0.28241,3.9091
0.28326,3.8484
0.2833,3.8209
