RMSE_Train,RMSE_Test,MAPE_Train,MAPE_Test,MAE_Train,MAE_Test
0.063048,0.080198,7.7513,11.415,8204.8,10434
0.062642,0.079649,7.7087,11.297,8164.4,10347
0.062863,0.079365,7.7132,11.329,8162.6,10287
0.062362,0.07992,7.6656,11.312,8119.5,10390
0.063023,0.081171,7.7477,11.545,8199.1,10506
0.062835,0.080429,7.7253,11.305,8166.1,10391
0.062596,0.079367,7.7033,11.305,8147.4,10290
0.06245,0.080631,7.6922,11.514,8123.8,10439
0.062521,0.078965,7.6896,11.235,8133.6,10278
0.062602,0.080616,7.6821,11.616,8124.5,10487
0.062973,0.079325,7.753,11.216,8194,10293
0.062765,0.080127,7.7232,11.501,8156.4,10403
0.062676,0.07989,7.6969,11.436,8136.2,10381
0.062709,0.080622,7.7314,11.507,8164.6,10428
0.062452,0.080163,7.6745,11.376,8120.1,10411
0.06295,0.080541,7.7392,11.343,8187.1,10397
0.062729,0.079314,7.7266,11.324,8166,10297
0.062862,0.079899,7.7291,11.388,8174.7,10382
0.063036,0.079771,7.7211,11.383,8171.6,10392
0.062709,0.07994,7.6813,11.315,8135.1,10311
0.06292,0.07996,7.7461,11.428,8180.5,10387
0.062806,0.080374,7.7318,11.438,8169.9,10427
0.062672,0.079752,7.6969,11.306,8151.6,10328
0.062392,0.081294,7.6593,11.464,8105.3,10496
0.062707,0.079435,7.7184,11.226,8154.9,10289
0.062829,0.081131,7.7298,11.441,8167.2,10489
0.062878,0.079559,7.7107,11.23,8152.2,10314
0.062972,0.08071,7.754,11.614,8190.3,10479
0.062697,0.080428,7.7188,11.28,8160,10384
0.062768,0.07938,7.6998,11.309,8151,10278
0.062614,0.079923,7.6858,11.243,8130.7,10315
0.062971,0.079585,7.7081,11.551,8156.7,10417
0.062887,0.07984,7.7558,11.351,8179.6,10378
0.062645,0.080692,7.6947,11.495,8141.3,10463
0.06279,0.07989,7.7238,11.415,8176.5,10378
0.062681,0.080297,7.7134,11.308,8147,10359
0.062778,0.080711,7.7327,11.482,8166.6,10416
0.062917,0.080029,7.7306,11.399,8167.8,10376
0.062798,0.080887,7.7255,11.45,8157.2,10454
0.062683,0.081467,7.6936,11.488,8137.3,10501
0.062717,0.078875,7.7039,11.278,8150.3,10236
0.062429,0.08119,7.6595,11.518,8107.8,10491
0.062888,0.07985,7.7465,11.455,8164.6,10356
0.062581,0.080871,7.6984,11.498,8147.3,10432
0.062866,0.079694,7.7288,11.317,8166.4,10382
0.06276,0.080776,7.7277,11.382,8159.4,10410
0.062382,0.080074,7.6844,11.291,8129.2,10381
