Training,Testing
0.062759,0.081441
0.062561,0.082479
0.062756,0.082221
0.063001,0.082992
0.06285,0.081983
0.063019,0.080943
0.062456,0.080781
0.062715,0.080059
0.062516,0.08035
0.062815,0.08075
0.062829,0.081219
0.062753,0.081974
0.062714,0.082202
0.062822,0.081994
0.062676,0.081479
0.063326,0.08219
0.06271,0.083693
0.062888,0.081253
0.062971,0.081702
0.062585,0.082888
0.062971,0.080218
0.063189,0.081124
0.062889,0.079601
0.062511,0.081349
0.062859,0.082389
0.063071,0.082241
0.062413,0.082995
0.062801,0.082077
0.062463,0.081249
0.062786,0.080776
0.062898,0.081999
0.062852,0.084669
0.062634,0.081134
0.062517,0.080632
0.062866,0.083041
0.063184,0.082524
0.063204,0.081125
0.062292,0.083279
0.063026,0.081852
0.062697,0.081507
0.062802,0.080851
0.06261,0.080274
0.062559,0.082589
0.062721,0.080784
0.062827,0.08218
0.063149,0.082836
0.062729,0.080017
0.063058,0.080624
0.062924,0.081746
0.063004,0.081436
0.062378,0.080944
0.062867,0.081944
0.062471,0.080605
0.062985,0.081278
0.062681,0.080248
0.062637,0.081314
0.062767,0.081218
0.062857,0.082485
0.063022,0.083493
0.062741,0.082966
0.063026,0.08423
0.063059,0.081069
0.062665,0.080351
0.062715,0.08177
0.062779,0.081353
0.062653,0.080417
0.06297,0.081076
0.062532,0.08103
0.063268,0.084846
0.06316,0.084732
0.063114,0.081728
0.062423,0.081616
0.062604,0.083603
0.062609,0.083724
0.062222,0.080019
0.062426,0.081158
0.062714,0.081684
0.062918,0.082091
0.063459,0.081904
0.062693,0.082708
0.062206,0.081831
0.062725,0.08324
0.063065,0.081909
0.063425,0.084664
0.063073,0.082466
0.06297,0.081349
0.062967,0.081661
0.062936,0.079667
0.062457,0.079607
0.062753,0.083427
0.063138,0.081563
0.06229,0.080675
0.062887,0.082724
0.062702,0.083109
0.062399,0.081437
0.062885,0.081709
0.06308,0.081729
0.063155,0.082123
0.062459,0.083177
0.063064,0.080845
0.062465,0.081143
0.062661,0.082678
