Training,Testing
0.074201,0.091364
0.074799,0.091997
0.074249,0.09559
0.074393,0.091404
0.074334,0.090665
0.07435,0.090086
0.07472,0.091664
0.07449,0.091153
0.074318,0.093019
0.074572,0.090755
0.074098,0.091065
0.074394,0.092064
0.074106,0.092221
0.074425,0.091724
0.074946,0.092581
0.074935,0.091462
0.074303,0.09135
0.074472,0.091703
0.074632,0.092067
0.074284,0.091479
0.074429,0.090902
0.074234,0.091218
0.074334,0.091615
0.07457,0.093331
0.073927,0.090372
0.074685,0.092874
0.074388,0.092251
0.074243,0.090916
0.074472,0.091145
0.074405,0.092228
0.07481,0.091825
0.074712,0.092143
0.074149,0.092352
0.07434,0.090524
0.074669,0.090959
0.074198,0.090823
0.0745,0.091225
0.074671,0.091817
0.074106,0.091284
0.074106,0.092557
0.073989,0.092376
0.074622,0.089839
0.074289,0.091341
0.07445,0.091837
0.074301,0.09007
0.074389,0.089744
0.07408,0.09169
0.074326,0.091046
0.074342,0.091763
0.074429,0.091287
