Training,Testing
0.065852,0.084645
0.065755,0.084559
0.065391,0.084738
0.065796,0.08623
0.06601,0.085356
0.065597,0.083718
0.065648,0.083111
0.066197,0.085219
0.06611,0.08441
0.065933,0.083621
0.065916,0.085393
0.065709,0.084482
0.065667,0.087009
0.065655,0.084838
0.065923,0.085097
0.066017,0.08449
0.065769,0.084716
0.065969,0.084469
0.065328,0.083699
0.065665,0.085201
0.065754,0.084829
0.065607,0.084333
0.065773,0.085103
0.065972,0.085877
0.065455,0.083837
0.065552,0.08381
0.065642,0.084333
0.066067,0.084856
0.066351,0.084918
0.065555,0.083148
0.065727,0.084904
0.065608,0.084546
0.0656,0.083562
0.065533,0.084443
0.065589,0.085307
0.065916,0.084287
0.065944,0.085073
0.066014,0.084924
0.065704,0.084708
0.065866,0.084757
0.065886,0.085537
0.065477,0.084337
0.065618,0.084816
0.066134,0.084317
0.065745,0.084438
0.065531,0.086048
0.066025,0.085123
0.065946,0.086298
0.065786,0.084873
0.065751,0.085
0.065972,0.084916
0.065753,0.085643
0.065498,0.084597
0.065869,0.084615
0.065998,0.086838
0.065856,0.086228
0.065885,0.085662
0.065681,0.084116
0.065827,0.084593
0.066085,0.084318
0.065673,0.083709
0.065612,0.084364
0.065795,0.084812
0.065712,0.08604
0.065857,0.085544
0.065666,0.082925
0.065823,0.084865
0.066007,0.085654
0.065913,0.08527
0.065733,0.084699
0.065644,0.085979
0.066018,0.084796
0.066178,0.084313
0.06551,0.084441
0.06584,0.08491
0.065908,0.084343
0.06565,0.085772
0.065973,0.084937
0.0662,0.084968
0.065818,0.084723
0.066027,0.085604
0.065984,0.085272
0.06568,0.083667
0.06592,0.084428
0.065538,0.085353
0.066079,0.085815
0.065742,0.083525
0.06581,0.0841
0.065557,0.085436
0.065808,0.085079
0.066181,0.08528
0.065893,0.083939
0.065975,0.084654
0.065639,0.08421
0.0661,0.084614
0.065579,0.083842
0.065721,0.08431
0.065582,0.085322
0.065543,0.08481
0.065999,0.08543
0.066223,0.08486
0.065966,0.085307
0.065519,0.084517
0.065934,0.084493
0.066116,0.085294
0.066022,0.084434
0.06579,0.084492
0.065537,0.084829
0.065996,0.085152
0.065285,0.084569
0.066017,0.084837
0.065901,0.08412
0.065612,0.083506
0.065917,0.087294
0.065387,0.084679
0.065857,0.085015
0.065632,0.084562
0.065932,0.083599
0.065855,0.084478
0.065793,0.084366
0.065838,0.083763
0.065771,0.085454
0.065635,0.086162
0.065803,0.084658
0.066049,0.085145
0.065956,0.0854
0.066149,0.084931
0.06545,0.083931
0.065662,0.084869
0.065857,0.08629
0.06593,0.083993
0.065962,0.084869
0.065806,0.084735
0.06546,0.084538
0.065377,0.084574
0.066681,0.084941
0.06605,0.084476
0.065673,0.083398
0.066061,0.083487
0.065991,0.085951
0.065718,0.084411
0.065808,0.084889
0.065577,0.083982
0.065539,0.0849
0.066191,0.084963
0.066133,0.084898
0.06608,0.086144
0.065588,0.084356
0.065648,0.085276
0.065913,0.084276
0.066022,0.084428
0.065737,0.08483
0.06573,0.084207
0.066047,0.085586
0.065944,0.083993
0.06572,0.085194
0.065974,0.08501
0.065781,0.08373
0.065486,0.083898
0.065674,0.08492
0.065646,0.083088
0.065801,0.084875
0.066355,0.084395
0.065498,0.084068
0.065854,0.084573
0.066109,0.085403
0.065998,0.085889
0.065803,0.085811
0.06585,0.084782
0.065394,0.08422
0.065582,0.085392
0.06584,0.08362
0.065851,0.084328
0.066055,0.086042
0.065785,0.085093
0.066049,0.085382
0.06586,0.08493
0.066064,0.08462
0.066016,0.084278
0.065903,0.084724
0.065423,0.0842
0.065815,0.085055
0.066002,0.0847
0.065884,0.084604
0.065934,0.085325
0.065567,0.085231
0.065747,0.083706
0.065851,0.08497
0.066049,0.084123
0.066099,0.08459
0.06626,0.085077
0.065364,0.084387
0.066494,0.085534
0.065849,0.085608
0.06587,0.084958
0.065802,0.083684
0.065985,0.085582
0.065539,0.085051
0.06624,0.085074
0.065676,0.084866
0.065416,0.084602
0.065452,0.082992
0.065773,0.085379
0.065773,0.084155
0.06537,0.083784
0.066131,0.084395
0.065903,0.084025
0.065529,0.083991
0.065744,0.083696
0.065532,0.08519
0.065666,0.083817
0.065889,0.085768
0.065769,0.084515
0.065882,0.085645
0.065896,0.083931
0.065797,0.085136
0.065576,0.083207
0.065424,0.082602
0.065776,0.085919
0.066164,0.085005
0.065623,0.085418
0.065955,0.085203
0.066324,0.086633
0.065675,0.08369
0.065597,0.084679
0.065469,0.083952
0.065794,0.08495
0.06582,0.086129
0.065719,0.084663
0.065751,0.084623
0.066032,0.084367
0.065922,0.083677
0.066001,0.085543
0.065893,0.084018
0.065896,0.084431
0.066042,0.084692
0.065461,0.083532
0.066062,0.084584
0.065796,0.085273
0.066409,0.085978
0.066128,0.086113
0.06566,0.083404
0.065562,0.084353
0.065781,0.083115
0.066035,0.085629
0.065661,0.083833
0.066196,0.08429
0.065839,0.084506
0.066034,0.084069
0.065485,0.083582
0.065692,0.085434
0.065705,0.083893
0.065662,0.084455
0.066019,0.084988
0.065741,0.085077
0.066133,0.08585
0.065642,0.084791
0.065693,0.085182
0.065761,0.084557
0.065931,0.084952
0.065739,0.085519
0.065588,0.084445
0.065777,0.084344
0.06588,0.084007
0.065899,0.085613
0.066068,0.086694
0.0657,0.084842
0.065906,0.084196
0.065646,0.085012
0.06554,0.084558
0.065731,0.083628
0.06624,0.084327
0.065996,0.084754
0.065537,0.084958
0.065901,0.083735
0.065913,0.084535
0.065631,0.084405
0.065654,0.085542
0.065932,0.084608
0.065631,0.08399
0.065791,0.085135
0.065608,0.085538
0.065832,0.085711
0.066109,0.085348
0.065779,0.08496
0.065994,0.084456
0.065508,0.085128
0.0658,0.084041
0.065554,0.08341
0.065952,0.084527
0.06597,0.086134
0.065896,0.084568
0.065667,0.085137
0.065681,0.085236
0.06595,0.084542
0.065459,0.084155
0.065874,0.084057
0.066005,0.085482
0.06589,0.083827
0.066026,0.085486
0.066117,0.085544
0.065527,0.086074
