Training,Testing
0.078104,0.097342
0.079169,0.098929
0.078666,0.096861
0.079067,0.097993
0.079285,0.097923
0.079188,0.098762
0.079665,0.098122
0.078763,0.097123
0.078487,0.097363
0.078908,0.098671
0.078221,0.097728
0.079235,0.099131
0.079146,0.097832
0.078566,0.097253
0.078787,0.098209
0.078916,0.098632
0.078394,0.098119
0.078951,0.098785
0.078737,0.098638
0.078741,0.098058
0.079323,0.098248
0.078619,0.098054
0.078586,0.097025
0.079039,0.097711
0.078461,0.097833
0.078264,0.097937
0.078794,0.096675
0.078975,0.097223
0.078949,0.097032
0.07961,0.09815
0.078995,0.097708
0.078481,0.097022
0.078897,0.098501
0.078791,0.097652
0.078851,0.097735
0.078293,0.096894
0.07832,0.097127
0.079121,0.09861
0.079293,0.098478
0.078457,0.098629
0.078351,0.096859
0.078628,0.097782
0.078254,0.096989
0.078908,0.097561
0.079001,0.098265
0.078887,0.097362
0.078204,0.097481
0.078844,0.099658
0.079027,0.098464
0.078647,0.096852
0.078812,0.099046
0.078886,0.096877
0.078394,0.097114
0.079525,0.09847
0.07932,0.098779
0.07874,0.097991
0.0793,0.099876
0.078965,0.098467
0.078168,0.09675
0.078442,0.098005
0.079436,0.099696
0.078478,0.09731
0.079151,0.09866
0.0786,0.097941
0.078399,0.096666
0.078688,0.097572
0.078697,0.098625
0.078974,0.097299
0.078315,0.097962
0.077938,0.097546
0.078804,0.097358
0.078367,0.096536
0.078736,0.096892
0.07857,0.096601
0.078344,0.098023
0.078519,0.097356
0.078687,0.09765
0.079318,0.098722
0.078491,0.098345
0.078366,0.097168
0.079111,0.098787
0.078593,0.097602
0.078841,0.09601
0.078676,0.097851
0.079098,0.097863
0.07853,0.096788
0.079631,0.09952
0.078757,0.097871
0.078874,0.098601
0.079053,0.09784
0.078782,0.098589
0.078764,0.098073
0.078836,0.097823
0.078338,0.097168
0.079021,0.097788
0.078712,0.098066
0.078244,0.096985
0.078699,0.098013
0.079217,0.098102
0.078568,0.096983
0.078984,0.097588
0.079147,0.096736
0.079455,0.098732
0.078689,0.098266
0.078485,0.0981
0.079086,0.0981
0.078615,0.098209
0.078433,0.097542
0.0788,0.09677
0.078729,0.097428
0.078837,0.09728
0.078431,0.096336
0.07918,0.097516
0.07907,0.098937
0.078852,0.097688
0.078191,0.096611
0.078561,0.097652
