Training,Testing
0.068779,0.084572
0.069144,0.084728
0.069309,0.085433
0.068566,0.084669
0.06842,0.084905
0.068241,0.082716
0.068302,0.084846
0.068937,0.084039
0.068298,0.085106
0.06873,0.085409
0.06915,0.085406
0.068589,0.084459
0.068641,0.085462
0.068924,0.085591
0.069464,0.085201
0.069137,0.085072
0.068567,0.087501
0.068854,0.085916
0.069168,0.086708
0.068633,0.085933
0.069316,0.086064
0.069131,0.084272
0.068207,0.082875
0.067908,0.084547
0.068606,0.085626
0.068534,0.084126
0.068553,0.084414
0.0683,0.083941
0.068195,0.083867
0.069363,0.087285
0.069539,0.085311
0.068884,0.084914
0.068888,0.084013
0.069002,0.084149
0.068534,0.085372
0.068934,0.084745
0.069032,0.084655
0.068658,0.084664
0.069063,0.086197
0.069204,0.08495
0.069501,0.085621
0.069011,0.085499
0.069359,0.086766
0.069287,0.08605
0.068996,0.084385
0.068775,0.084737
0.068244,0.084672
0.068989,0.084193
0.068632,0.08504
0.068504,0.083774
0.068849,0.085016
0.068561,0.084292
0.06862,0.084693
0.068863,0.084664
0.068954,0.085306
0.06899,0.085563
0.068385,0.085454
0.068167,0.08323
0.068021,0.083419
0.068437,0.084233
0.068945,0.085466
0.06874,0.084232
0.068197,0.082998
0.068703,0.084982
0.068576,0.085024
0.068429,0.084737
0.068327,0.083621
0.069237,0.085699
0.067928,0.084033
0.068232,0.084141
0.068232,0.08536
0.068141,0.084856
0.068693,0.084427
0.069299,0.086405
0.06856,0.084222
0.068941,0.085197
0.069024,0.085813
0.068883,0.084194
0.068509,0.085575
0.069351,0.085187
0.068449,0.084503
0.068869,0.08527
0.068694,0.084201
0.068838,0.085106
0.068075,0.084595
0.068756,0.085085
0.069273,0.087406
0.068143,0.084544
0.068318,0.084379
0.068468,0.083678
0.06822,0.084022
0.068708,0.085344
0.068316,0.083528
0.068913,0.08517
0.068883,0.086641
0.069023,0.085103
0.068278,0.083913
0.068238,0.084196
0.069075,0.086109
0.068912,0.084459
0.068495,0.084454
0.069281,0.085309
0.068181,0.083895
0.0694,0.084245
0.068366,0.084627
0.068376,0.084055
0.068899,0.085049
0.068333,0.085394
0.068846,0.085461
0.069548,0.085896
0.068945,0.085101
0.068767,0.084547
0.068371,0.083149
0.068976,0.08609
0.068685,0.08438
0.068735,0.085043
0.068471,0.08458
0.068483,0.085152
0.068444,0.084407
0.068579,0.083057
0.068422,0.084088
0.06864,0.084783
0.068031,0.084153
0.069202,0.084863
0.067719,0.083995
0.068715,0.084987
0.068048,0.083319
0.069207,0.084555
0.068065,0.084945
0.068666,0.083769
0.068921,0.085095
0.0683,0.084374
0.068634,0.085317
0.067956,0.084031
0.069183,0.085091
0.068121,0.08515
0.068534,0.086672
0.068012,0.083889
0.069248,0.085338
0.069287,0.086041
0.069127,0.085175
0.068438,0.08428
0.069219,0.087789
0.068919,0.08463
0.068078,0.083871
0.069036,0.085552
0.067466,0.082794
0.068517,0.085236
0.068013,0.083256
0.068834,0.084395
0.068925,0.084525
0.068063,0.08401
0.068354,0.084605
0.068804,0.084325
0.069056,0.08552
0.068488,0.084119
0.069473,0.085533
0.068577,0.084306
0.067897,0.08389
0.069011,0.085113
0.068764,0.084502
0.067987,0.083526
0.068096,0.084783
0.068745,0.085659
0.068555,0.084843
0.06916,0.084574
0.068766,0.085729
0.06822,0.085002
0.068576,0.085172
0.068502,0.083724
0.068871,0.084763
0.068293,0.085102
0.068682,0.083498
0.068929,0.085708
0.068844,0.084943
0.068603,0.085065
0.068619,0.085172
0.068933,0.084369
0.068268,0.084482
0.068552,0.08434
0.068903,0.086044
0.068999,0.086019
0.069066,0.08457
0.068344,0.08449
0.068854,0.084991
0.069423,0.085653
0.069555,0.085594
0.069062,0.084811
0.068965,0.084481
0.06914,0.086225
0.068593,0.085085
0.069634,0.084501
0.068734,0.085376
0.068729,0.085604
0.069485,0.084961
0.068959,0.086662
0.069215,0.086203
0.069297,0.085861
0.068747,0.084537
0.068894,0.084886
0.068987,0.085805
0.067699,0.083649
0.069133,0.085264
0.068345,0.083951
0.06857,0.085218
0.068408,0.084293
0.068354,0.084557
0.06885,0.084924
0.069245,0.085952
0.068881,0.08406
0.069308,0.084372
0.06841,0.0847
0.068242,0.084251
0.068408,0.083299
0.069231,0.085048
0.06855,0.0867
0.068863,0.085458
0.067879,0.08309
0.068205,0.085492
0.06907,0.084854
0.068606,0.084435
0.069598,0.086249
0.068178,0.084743
0.068974,0.084845
0.069048,0.085983
0.068737,0.084775
0.068802,0.084569
0.068889,0.085107
0.068787,0.086001
0.068657,0.085421
0.069031,0.085055
0.068891,0.08435
0.068587,0.084905
0.068594,0.085804
0.069241,0.085347
0.068211,0.083574
0.068788,0.085289
0.069706,0.086559
0.068999,0.084833
0.068969,0.085186
0.068618,0.085012
0.068972,0.085181
0.068807,0.085449
0.068733,0.085394
0.068757,0.08658
0.068122,0.083143
0.068593,0.084904
0.06905,0.085134
0.068403,0.084848
0.069056,0.084446
0.069103,0.085954
0.068242,0.084489
0.068565,0.084838
0.068783,0.085409
0.068009,0.083553
0.06808,0.083477
0.068501,0.083742
0.069243,0.086235
0.068422,0.084206
0.069029,0.085209
0.068658,0.086466
0.069313,0.08573
0.068909,0.086409
0.069378,0.084879
0.068775,0.085044
0.068282,0.085437
0.068538,0.08383
0.06821,0.083671
0.068682,0.085143
0.068008,0.084192
0.069168,0.08611
0.0685,0.084705
0.068065,0.083254
0.068789,0.085007
0.068286,0.084168
0.068243,0.084554
0.068616,0.084306
0.068792,0.084637
0.068971,0.085495
0.067852,0.084012
0.06872,0.085285
0.068996,0.085676
0.069317,0.086349
0.068632,0.084526
0.068406,0.08385
0.06786,0.083023
0.068519,0.084133
0.068715,0.08403
0.069044,0.084397
0.068471,0.084528
0.068884,0.085448
0.068704,0.084484
0.068142,0.083272
0.069301,0.086339
0.068738,0.08352
0.06841,0.084036
0.06889,0.085334
0.068747,0.08532
0.069037,0.085903
0.067898,0.084967
0.068513,0.083994
0.068949,0.085667
0.069141,0.083865
0.068819,0.084862
0.069279,0.086558
0.068633,0.084986
0.068164,0.084139
0.068028,0.083647
0.06905,0.084647
0.067814,0.08239
0.068493,0.08482
0.069009,0.085413
0.069024,0.084893
0.068827,0.084707
0.068361,0.084393
0.068709,0.084901
0.068074,0.082758
0.069096,0.086373
0.069047,0.085668
0.068004,0.085203
0.068216,0.084063
0.068825,0.085048
0.068299,0.084262
0.068777,0.086345
0.069118,0.085801
0.06868,0.084567
0.068291,0.084203
0.068412,0.084929
0.068681,0.084647
0.069296,0.085845
0.069247,0.08474
0.068265,0.084941
0.069223,0.085821
0.068655,0.083345
0.068553,0.084159
0.068628,0.084663
0.068887,0.085155
0.068115,0.084992
0.068716,0.083763
0.068189,0.085068
0.068857,0.085421
0.069213,0.085899
0.068914,0.084294
0.06905,0.084608
0.068407,0.083606
0.068132,0.084571
0.068667,0.084657
0.068339,0.084505
0.068246,0.083785
0.069633,0.086378
0.068573,0.083839
0.068658,0.084956
0.068372,0.084702
0.068572,0.084795
0.068243,0.083308
0.06933,0.085061
0.068539,0.084348
0.068117,0.084419
0.068433,0.084132
0.068556,0.084293
0.068544,0.084455
0.068937,0.085608
0.06873,0.085269
0.06897,0.085145
0.068757,0.085269
0.069646,0.085381
0.068505,0.08481
0.068916,0.084748
0.06872,0.084977
0.069497,0.085318
0.068691,0.084224
0.068622,0.084202
0.068722,0.084955
0.06865,0.084081
0.068753,0.084548
0.068275,0.084393
0.068789,0.085981
0.067957,0.084528
0.068641,0.085123
0.069356,0.085392
0.068402,0.084642
0.06902,0.085634
0.06866,0.084447
0.068575,0.084125
0.068591,0.084538
0.069299,0.08474
0.069293,0.086455
0.068613,0.084921
0.06879,0.084961
0.067927,0.084392
0.06849,0.084512
0.068242,0.085245
0.068513,0.084239
0.067685,0.08331
0.069021,0.086304
0.067901,0.083622
0.068455,0.085069
0.069362,0.085764
0.068026,0.083527
0.068443,0.086273
0.068915,0.086403
0.06897,0.084703
0.06902,0.086365
0.069114,0.086388
0.069305,0.08561
0.069108,0.084493
0.068586,0.084785
0.068706,0.084663
0.068601,0.084018
0.069219,0.084388
0.068056,0.084968
0.068731,0.083588
0.068551,0.085267
0.069006,0.083828
0.068955,0.084591
0.0682,0.083223
0.068486,0.084527
0.06873,0.084091
0.068784,0.085364
0.069213,0.086201
0.068195,0.084
0.069467,0.086194
0.068849,0.085598
0.068612,0.085717
0.068453,0.084957
0.068972,0.085003
0.068759,0.085265
0.06906,0.085792
0.069288,0.086204
0.068599,0.086248
0.06903,0.085148
0.068369,0.085266
0.068116,0.084796
0.068682,0.08378
0.068076,0.085255
0.068967,0.084261
0.068703,0.084863
