ProfileName,ProfileArea,SettlementDate,CreationDT,Period01,Period02,Period03,Period04,Period05,Period06,Period07,Period08,Period09,Period10,Period11,Period12,Period13,Period14,Period15,Period16,Period17,Period18,Period19,Period20,Period21,Period22,Period23,Period24,Period25,Period26,Period27,Period28,Period29,Period30,Period31,Period32,Period33,Period34,Period35,Period36,Period37,Period38,Period39,Period40,Period41,Period42,Period43,Period44,Period45,Period46,Period47,Period48,Locked
NSLP,ACTEWAGL,21/01/2009,22/05/2009 22:01,43589.379,41113.623,39852.204,39137.806,38821.68,38618.892,38468.45,38637.55,40051.535,42045.849,45010.767,57881.734,66885.49,71307.261,73002.858,74585.012,77261.898,78599.278,83575.275,85084.702,90776.545,94423.748,94966.948,97345.614,101310.801,102776.026,105199.858,107765.756,110870.637,114648.473,117562.455,120714.3,123207.327,125577.834,123819.259,122906.288,119313.393,114771.223,110548.906,109242.62,104765.997,98917.631,91764.842,82233.652,82282.483,77963.534,68114.22,57136.951,Y
NSLP,ACTEWAGL,22/01/2009,22/05/2009 22:01,50845.781,47919.427,46280.393,45241.126,44053.631,43454.049,43425.754,43335.259,43980.348,46071.774,48325.164,61024.837,70099.153,75675.91,77570.457,78514.568,78843.277,78490.614,80712.198,80222.754,83934.613,85212.577,84609.254,85411.034,87722.978,87154.238,85621.268,85253.808,85869.148,87545.883,89384.459,92083.738,94154.838,98123.62,98779.95,98756.855,96776.895,98946.134,90115.139,87536.164,84964.393,80411.837,74800.673,68230.441,70783.2,68945.548,61205.975,50666.67,Y
NSLP,ACTEWAGL,23/01/2009,22/05/2009 22:01,45399.192,42851.937,41993.221,39727.004,39397.464,39294.217,39044.299,39081.606,40589.48,42927.885,45393.963,57725.716,66946.557,72372.079,74962.665,77013.643,79984.553,81074.153,85395.558,86922.179,92043.386,94731.779,93554.023,94536.095,97052.407,95438.289,97001.462,98353.232,100636.07,103396.839,105604.764,107734.958,108252.375,110145.882,108795.875,105337.227,99477.886,92426.229,88228.514,86564.411,83076.815,78562.493,75558.871,69768.278,72707.95,71114.059,62758.829,52937.711,Y
NSLP,ACTEWAGL,24/01/2009,22/05/2009 22:01,47202.675,44880.624,43954.438,41089.064,39886.079,39532.215,39456.05,38829.094,39169.526,39808.693,38362.461,43830.8,48559.053,53331.445,59087.42,64882.634,70849.279,73590.016,78277.866,78634.682,83417.089,85024.885,83063.836,82320.789,83138.568,82012.383,81735.884,82839.685,84232.843,85541.811,87085.585,88920.154,90063.021,92178.06,92339.334,91637.047,88440.546,83866.246,80974.414,80982.993,78436.333,74243.702,70689.267,65848.35,69598.411,68614.886,60410.313,50792.653,Y
NSLP,ACTEWAGL,25/01/2009,29/05/2009 22:00,44993.073,41916.776,39817.436,38723.279,38015.399,37148.663,36957.682,36792.82,36662.228,37279.483,35506.673,40118.637,42880.006,46131.146,50258.854,54222.625,58382.813,61037.207,65556.3,67295.604,70875.432,71948.885,69617.403,68300.588,69352.891,66883.348,66033.653,65496.544,66775.689,68872.926,69525.379,72062.01,75077.484,78974.032,81257.203,81930.392,80589.401,78145.31,76307.138,77591.3,76114.54,72079.885,69317.586,64955.046,70131.266,69044.505,60690.165,50983.048,Y
NSLP,ACTEWAGL,26/01/2009,29/05/2009 22:00,45203.136,41915.142,40130.365,38875.29,37990.237,37204.004,36740.406,36752.548,36454.67,36937.472,34286.414,39773.739,43303.739,46706.484,51645.722,56673.082,61785.255,66310.448,72132.542,74683.388,81150.985,84704.084,84857.165,86573.594,89653.706,90591.437,92587.752,95240.673,98738.966,101453.756,102914.316,104395.884,106722.932,108132.228,105689.81,103942.666,98341.562,91641.964,87486.841,86283.271,82012.331,76781.671,71510.36,65288.452,67922.636,66633.199,58877.733,49169.742,Y
NSLP,ACTEWAGL,27/01/2009,29/05/2009 22:00,43396.561,40216.766,38928.454,38070.091,37504.331,37374.756,37106.471,37510.548,38390.188,40813.161,45398.158,56359.433,66200.654,70975.693,71379.42,71897.332,72744.428,72840.131,76490.81,77216.288,82678.034,85760.656,85085.138,86760.841,90135.607,91573.292,94134.889,96820.051,101020.629,105551.623,109815.652,114553.918,118449.403,123398.219,125785.382,126029.145,122892.505,118067.664,112811.289,110078.909,105437.304,97699.101,90177.679,79988.737,79910.365,75959.496,66519.241,55216.218,Y
NSLP,ACTEWAGL,28/01/2009,29/05/2009 22:00,49445.785,46019.675,44318.374,43029.973,42176.386,41860.308,41259.192,41381.506,42294.405,44555.343,47553.569,58805.826,69166.846,73955.633,76295.751,78009.889,81866.716,84816.446,91330.769,95346.919,103193.579,107705.084,109313.241,112958.022,117114.62,118214.473,121002.724,123357.221,125821.079,128978.33,133063.887,136771.264,140500.723,143877.895,146097.56,146254.304,141775.165,138158.329,134448.302,133814.268,127763.067,118856.058,106742.706,94461.063,91221.387,84593.195,73944.395,62192.751,Y
NSLP,ACTEWAGL,29/01/2009,29/05/2009 22:00,55701.362,52114.64,50068.907,48190.02,47181.706,45925.1,45455.107,45378.175,45839.658,48057.34,50817.109,61372.33,71856.909,77254.767,80410.794,83386.429,86767.986,90868.13,97788.311,102483.101,110069.78,115476.343,117993.964,121727.087,126047.205,127326.315,129229.269,131579.476,133825.506,137123.353,140077.651,144116.146,147524.928,150467.613,151832.416,152061.008,147538.835,142855.425,138242.858,135682.827,130766.001,121232.511,109633.219,96778.656,93407.45,86121.96,75487.019,63363.766,Y
NSLP,ACTEWAGL,30/01/2009,29/05/2009 22:00,56911.854,53469.829,51171.329,49561.422,47859.65,46947.754,46116.292,45853.721,46829.665,48376.268,50524.195,60472.207,71052.355,75699.806,79133.914,81766.223,86213.208,89023.643,95801.394,99341.022,107746.611,112825.168,115032.993,117972.101,122775.334,124675.334,126929.897,129810.185,132371.852,135978.739,138799.824,141189.591,144464.976,146645.342,145625.807,142707.042,138544.965,132968.502,127255.947,124442.403,119606.667,113161.184,106582.405,97390.754,96748.263,90304.332,78728.588,67012.811,Y
